"p38606";"Giuseppe De Feudis";"Midfielder";"Cesena";"200000";"VL"
"p21143";"Manuel Coppola";"Midfielder";"Cesena";"200000";"VL"
"p17847";"Franco Brienza";"Midfielder";"Cesena";"200000";"VL"
"p173187";"Abdul Yabré";"Midfielder";"Cesena";"200000";"VL"
"p126543";"Andrea Tabanelli";"Midfielder";"Cesena";"200000";"VL"
"p9045";"Emmanuel Cascione";"Midfielder";"Cesena";"200000";"VL"
"p17448";"Riccardo Cazzola";"Midfielder";"Cesena";"200000";"VL"
"p39087";"Nico Pulzetti";"Midfielder";"Cesena";"200000";"VL"
"p58380";"Zé Eduardo";"Midfielder";"Cesena";"200000";"VL"
"p95215";"Gregoire Defrel";"Midfielder";"Cesena";"200000";"VL"
"p91067";"Alejandro Rodriguez";"Forward";"Cesena";"200000";"VL"
"p49203";"Milan Djuric";"Forward";"Cesena";"200000";"VL"
"p18243";"Davide Succi";"Forward";"Cesena";"200000";"VL"
"p174876";"Gabriele Moncini";"Forward";"Cesena";"200000";"VL"
"p130772";"Luca Garritano";"Forward";"Cesena";"200000";"VL"
"p56008";"Guido Marilungo";"Forward";"Cesena";"200000";"VL"
"p40727";"Christian Puggioni";"Goalkeeper";"Chievo";"200000";"VL"
"p8278";"Albano Bizzarri";"Goalkeeper";"Chievo";"200000";"VL"
"p74011";"Francesco Bardi";"Goalkeeper";"Chievo";"200000";"L"
"p195505";"Grega Sorcan";"Goalkeeper";"Chievo";"200000";"VL"
"p55688";"Andrea Seculin";"Goalkeeper";"Chievo";"200000";"VL"
"p7328";"Dario Dainelli";"Defender";"Chievo";"200000";"VL"
"p7194";"Alessandro Gamberini";"Defender";"Chievo";"200000";"VL"
"p21102";"Bostjan Cesar";"Defender";"Chievo";"200000";"VL"
"p38162";"Gennaro Sardo";"Defender";"Chievo";"200000";"VL"
"p38808";"Nicolas Frey";"Defender";"Chievo";"200000";"VL"
"p52741";"Edimar";"Defender";"Chievo";"200000";"VL"
"p88432";"Cristiano Biraghi";"Defender";"Chievo";"200000";"VL"
"p59886";"Ervin Zukanovic";"Defender";"Chievo";"200000";"VL"
"p45490";"Tomasz Kupisz";"Midfielder";"Chievo";"200000";"VL"
"p59045";"Dejan Lazarevic";"Midfielder";"Chievo";"200000";"VL"
"p40436";"Ivan Radovanovic";"Midfielder";"Chievo";"200000";"VL"
"p39783";"Mariano Izco";"Midfielder";"Chievo";"200000";"VL"
"p59047";"Isaac Cofie";"Midfielder";"Chievo";"200000";"VL"
"p59883";"Rubén Botta";"Midfielder";"Chievo";"200000";"VL"
"p37412";"Valter Birsa";"Midfielder";"Chievo";"200000";"VL"
"p74375";"Ezequiel Schelotto";"Midfielder";"Chievo";"200000";"VL"
"p39481";"Perparim Hetemaj";"Midfielder";"Chievo";"200000";"VL"
"p61547";"Nicola Bellomo";"Midfielder";"Chievo";"200000";"VL"
"p18574";"Thomas Mangani";"Midfielder";"Chievo";"200000";"VL"
"p19787";"Maxi López";"Forward";"Chievo";"200000";"VL"
"p10729";"Sergio Pellissier";"Forward";"Chievo";"200000";"VL"
"p49569";"Alberto Paloschi";"Forward";"Chievo";"200000";"VL"
"p19480";"Riccardo Meggiorini";"Forward";"Chievo";"200000";"VL"
"p38858";"Maurizio Pugliesi";"Goalkeeper";"Empoli";"200000";"VL"
"p172770";"Matteo Biggeri";"Goalkeeper";"Empoli";"200000";"VL"
"p39368";"Davide Bassi";"Goalkeeper";"Empoli";"200000";"VL"
"p59326";"Luigi Sepe";"Goalkeeper";"Empoli";"200000";"VL"
"p85046";"Vincent Laurini";"Defender";"Empoli";"200000";"VL"
"p20212";"Romano Perticone";"Defender";"Empoli";"200000";"VL"
"p127122";"Federico Barba";"Defender";"Empoli";"200000";"VL"
"p101019";"Mário Rui";"Defender";"Empoli";"200000";"VL"
"p103063";"Matteo Bianchetti";"Defender";"Empoli";"200000";"VL"
"p107363";"Elseid Hysaj";"Defender";"Empoli";"200000";"VL"
"p150710";"Daniele Rugani";"Defender";"Empoli";"200000";"VL"
"p42426";"Lorenzo Tonelli";"Defender";"Empoli";"200000";"VL"
"p13528";"Davide Moro";"Midfielder";"Empoli";"200000";"VL"
"p51303";"Mirko Valdifiori";"Midfielder";"Empoli";"200000";"VL"
"p79881";"Franco Signorelli";"Midfielder";"Empoli";"200000";"VL"
"p38938";"Daniele Croce";"Midfielder";"Empoli";"200000";"VL"
"p148025";"Diego Laxalt";"Midfielder";"Empoli";"200000";"VL"
"p39083";"Tiberio Guarente";"Midfielder";"Empoli";"200000";"VL"
"p78819";"Simone Verdi";"Midfielder";"Empoli";"200000";"VL"
"p98815";"Manuel Pucciarelli";"Midfielder";"Empoli";"200000";"VL"
"p126440";"Piotr Zielinski";"Midfielder";"Empoli";"200000";"VL"
"p148215";"Matias Vecino";"Midfielder";"Empoli";"200000";"VL"
"p12767";"Massimo Maccarone";"Forward";"Empoli";"200000";"VL"
"p48806";"Levan Mchedlidze";"Forward";"Empoli";"200000";"VL"
"p13532";"Francesco Tavano";"Forward";"Empoli";"200000";"VL"
"p105057";"Irakli Shekiladze";"Forward";"Empoli";"200000";"VL"
"p180003";"Emanuele Rovini";"Forward";"Empoli";"200000";"VL"
"p153299";"Rodrigo Aguirre";"Forward";"Empoli";"200000";"VL"
"p69752";"Neto";"Goalkeeper";"Fiorentina";"200000";"VL"
"p44898";"Ciprian Tatarusanu";"Goalkeeper";"Fiorentina";"200000";"VL"
"p7143";"Cristiano Lupatelli";"Goalkeeper";"Fiorentina";"200000";"VL"
"p105128";"Luca Lezzerini";"Goalkeeper";"Fiorentina";"200000";"VL"
"p18352";"Gonzalo Rodríguez";"Defender";"Fiorentina";"200000";"VL"
"p20492";"Micah Richards";"Defender";"Fiorentina";"200000";"L"
"p65807";"Stefan Savic";"Defender";"Fiorentina";"200000";"L"
"p53943";"José Basanta";"Defender";"Fiorentina";"200000";"VL"
"p21129";"Manuel Pasqual";"Defender";"Fiorentina";"200000";"VL"
"p82263";"Marcos Alonso";"Defender";"Fiorentina";"200000";"VL"
"p171522";"Ricardo Bagadur";"Defender";"Fiorentina";"200000";"VL"
"p62396";"Nenad Tomovic";"Defender";"Fiorentina";"200000";"VL"
"p197096";"Edoardo Masciangelo";"Defender";"Fiorentina";"200000";"VL"
"p197095";"Enea Sanna";"Defender";"Fiorentina";"200000";"VL"
